id,class,part1_theory_30,part2_exercise_10
S_r00123,1ACS01,2.33,0.00
S_r00124,1ACS02,,
S_r00125,1ITF05,2.63,0.00
S_r00126,1ITF05,8.70,0.50
S_r00127,1ITF02,,
S_r00128,1ITF06,23.50,9.75
S_r00129,1ACS02,18.09,4.00
S_r00130,1ACS02,11.83,1.63
S_r00131,1ITF03,13.53,1.63
S_r00132,1ACS01,8.40,0.00
S_r00133,1ACS02,5.80,0.00
S_r00134,1ITF05,,
S_r00135,1ACS02,19.00,6.00
S_r00136,1ACS01,4.76,0.00
S_r00137,1ACS01,6.40,0.00
S_r00138,1ACS02,9.10,0.00
S_r00139,1ITF06,,
S_r00140,1ITF04,22.00,6.15
S_r00141,1ITF06,17.74,1.38
S_r00142,1ACS02,,
S_r00143,1ACS02,10.51,0.25
S_r00144,1ITF04,22.70,8.10
S_r00145,1ITF04,21.20,6.75
S_r00146,1ITF02,16.23,2.88
S_r00147,1ACS01,11.43,0.50
S_r00148,1ACS01,,
S_r00149,1ITF01,20.80,6.25
S_r00150,1ITF03,12.73,1.00
S_r00151,1ITF06,11.43,1.25
S_r00152,1ITF05,12.93,1.50
S_r00153,1ITF04,18.23,0.50
S_r00154,1ACS01,18.66,3.13
S_r00155,1ITF06,14.79,0.50
S_r00156,1ITF03,13.90,5.50
S_r00157,1ITF04,20.87,10.00
S_r00158,1ITF02,1.63,
S_r00159,1ITF03,9.63,0.00
S_r00160,1ITF02,13.97,3.33
S_r00161,1ACS01,27.00,6.25
S_r00162,1ACS02,5.63,1.00
S_r00163,1ACS02,10.73,1.75
S_r00164,1ACS01,24.59,0.75
S_r00165,1ITF05,,
S_r00166,1ITF01,22.20,5.00
S_r00167,1ITF03,18.60,3.00
S_r00168,1ITF03,22.03,8.50
S_r00169,1ITF03,15.57,4.00
S_r00170,1ITF06,9.30,0.25
S_r00171,1ITF06,10.80,3.25
S_r00172,1ITF01,21.17,4.25
S_r00173,1ITF04,22.33,8.75
S_r00174,1ITF06,26.83,10.00
S_r00175,1ITF06,25.09,8.50
S_r00176,1ITF01,,
S_r00177,1ITF06,16.77,2.25
S_r00178,1ITF06,14.53,0.00
S_r00179,1ITF05,5.60,2.50
S_r00180,1ACS01,25.53,9.00
S_r00181,1ITF01,18.20,6.50
S_r00182,1ITF04,18.90,4.50
S_r00183,1ITF04,17.20,3.00
S_r00184,1ITF03,14.43,3.25
S_r00185,1ITF06,24.33,9.25
S_r00186,1ITF05,17.33,8.00
S_r00187,1ITF04,20.43,2.75
S_r00188,1ITF05,15.53,8.25
S_r00189,1ITF05,5.97,0.25
S_r00190,1ACS02,12.10,0.25
S_r00191,1ACS01,3.60,1.25
S_r00192,1ACS02,,
S_r00193,1ITF02,11.23,1.50
S_r00194,1ITF03,,
S_r00195,1ITF03,14.37,3.75
S_r00196,1ACS02,9.69,0.25
S_r00197,1ITF02,,
S_r00198,1ITF05,20.03,7.40
S_r00199,1ITF05,13.80,1.00
S_r00200,1ACS01,18.60,5.25
S_r00201,1ITF02,8.50,0.25
S_r00202,1ITF04,14.73,1.75
S_r00203,1ACS02,19.37,9.50
S_r00204,1ITF03,11.43,0.75
S_r00205,1ITF02,22.00,9.35
S_r00206,1ACS02,12.30,0.75
S_r00207,1ITF03,5.97,0.50
S_r00208,1ACS01,5.96,0.00
S_r00209,1ITF05,9.07,1.25
S_r00210,1ACS02,23.76,7.75
S_r00211,1ITF01,11.80,0.00
S_r00212,1ITF04,22.37,2.25
S_r00213,1ACS01,,
S_r00214,1ITF05,5.30,0.25
S_r00215,1ACS01,11.13,5.00
S_r00216,1ITF06,,
S_r00217,1ACS01,12.86,1.25
S_r00218,1ITF05,4.63,0.00
S_r00219,1ITF02,3.76,0.25
S_r00220,1ITF03,17.07,5.00
S_r00221,1ITF05,19.73,8.00
S_r00222,1ACS01,,
S_r00223,1ACS01,4.13,1.00
S_r00224,1ITF06,13.03,0.10
S_r00225,1ACS01,,
S_r00226,1ACS02,5.97,4.75
S_r00227,1ACS02,,
S_r00228,1ITF01,15.47,5.00
S_r00229,1ITF01,25.00,3.25
S_r00230,1ITF06,22.04,5.50
S_r00231,1ITF04,19.20,2.00
S_r00232,1ITF04,18.83,5.00
S_r00233,1ITF03,14.43,5.50
S_r00234,1ACS01,9.43,0.00
S_r00235,1ITF02,3.40,0.00
S_r00236,1ACS02,9.30,0.50
S_r00237,1ACS01,24.67,9.75
S_r00238,1ITF05,22.67,7.00
S_r00239,1ITF03,14.20,5.00
S_r00240,1ACS01,,
S_r00241,1ITF01,19.20,8.75
S_r00242,1ITF01,14.20,2.00
S_r00243,1ITF02,18.67,8.00
S_r00244,1ITF05,21.17,8.75
S_r00245,1ACS02,,
S_r00246,1ACS01,18.17,2.00
S_r00247,1ITF01,24.50,6.00
S_r00248,1ITF05,,
S_r00249,1ACS02,9.27,2.50
S_r00250,1ACS01,,
S_r00251,1ITF02,17.73,0.00
S_r00252,1ACS01,28.17,9.75
S_r00253,1ITF03,14.07,4.25
S_r00254,1ITF01,21.84,9.75
S_r00255,1ITF02,15.53,9.13
S_r00256,1ITF03,7.87,1.50
S_r00257,1ITF03,20.20,9.50
S_r00258,1ITF05,7.30,0.00
S_r00259,1ACS02,,
S_r00260,1ACS01,4.79,1.00
S_r00261,1ACS01,12.90,0.00
S_r00262,1ITF06,3.80,0.00
S_r00263,1ITF01,18.80,5.50
S_r00264,1ACS02,,
S_r00265,1ITF06,13.13,2.75
S_r00266,1ITF02,22.53,9.50
S_r00267,1ACS01,12.97,2.75
S_r00268,1ITF05,22.40,1.25
S_r00269,1ITF01,5.90,0.00
S_r00270,1ITF03,6.43,0.00
S_r00271,1ITF06,5.76,0.00
S_r00272,1ACS02,,
S_r00273,1ITF02,15.70,2.50
S_r00274,1ITF01,21.37,9.50
S_r00275,1ITF02,19.43,7.50
S_r00276,1ITF01,13.46,4.00
